,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EM3140F,Kinh tế quốc tế,2(2-1-0-4),2,3,0.6
,EM4527F,Kế toán doanh nghiệp,3(3-1-0-6),3,4,0.7
,EM4316F,Thương mại điện tử,2(2-1-0-4),2,3,0.6
,EM4716F,Kế toán quản trị,2(2-1-0-4),2,3,0.7
,EM3130F,Phương pháp và mô hình lượng về quản lý,2(2-1-0-4),2,3,0.7
,EM4212F,Phân tích hoạt động kinh doanh,2(2-1-0-4),2,3,0.7
,EM3190F,Hành vi của tổ chức,2(2-1-0-4),2,3,0.7
,CH3006,Hóa lý,3(3-1-0-6),3,4,0.7
,CH3007,Thí nghiệm Hóa lý,1(0-0-2-2),1,3,0.5
,IT3045,Kỹ thuật lập trình an toàn,2(2-1-0-4),2,3,0.7
,IT4025,Mật mã ứng dụng,3(3-1-0-6),3,4,0.6
,IT4190,An toàn hệ thống,3(3-1-0-6),3,4,0.7
,IT4263,An ninh mạng,3(2-0-2-6),3,5,0.6
,IT4220,Quản trị an toàn thông tin và rủi ro,2(2-0-0-4),2,2,0.6
,IT4830,Phòng chống tấn công mạng,3(2-0-1-6),3,3.5,0.6
,IT4403,Phát triển hệ thống Web an toàn,2(2-1-0-4),2,3,0.7
,IT4911,Đồ án môn học (Thiết kế hệ thống ATTT),3(0-0-6-12),3,6,0.7
,IT4810,Đánh giá kiểm định an toàn hệ thống thông tin,3(2-1-1-6),3,4.5,0.7
,IT4320,An toàn trong giao dịch điện tử,3(3-1-0-6),3,4,0.7
,IT4450,Cơ sở pháp lý số,2(2-0-1-4),2,3.5,0.7
