,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE3101,Các nguồn năng lượng tái tạo,2(2-0-0-4),2,2,0.7
,EE3427,Hệ thống điện tòa nhà,3(3-1-0-6),3,4,0.5
,EE3428,Hệ thống BMS cho tòa nhà,3(3-0-0-6),3,3,0.5
,EE4021,Ngắn mạch trong lưới điện công nghiệp,2(2-1-0-4),2,3,0.7
,EE4023,Kỹ thuật nối đất và chống sét cho lưới điện công nghiệp,3(3-1-0-6),3,4,0.7
,EE4032,Nhà máy điện và trạm biến áp,3(3-1-0-6),3,4,0.7
,EE4042,Rơle bảo vệ trong hệ thống điện,3(3-1-0-6),3,4,0.7
,EE4052,Kỹ thuật điện cao áp,3(3-1-0-6),3,4,0.7
,EE4062,Rơle bảo vệ trong lưới điện công nghiệp,2(2-1-0-4),2,3,0.7
,EE4083,Chiếu sáng công nghiệp và dân dụng,2(2-1-0-4),2,3,0.5
,EE4205,Máy điện trong thiết bị tự động và điều khiển,2(2-1-0-4),2,3,0.5
,EE4331,Điều khiển Điện tử công suất,3(3-1-0-6),3,4,0.5
,EE4332,Thiết kế truyền động điện,3(3-1-0-6),3,4,0.7
,EE4334,Hệ thống sản xuất tích hợp máy tính (CIM),2(2-0-1-4),2,3.5,0.7
,EE4430,Mô hình hóa và mô phỏng hệ thống điều khiển,2(2-1-0-4),2,3,0.5
,EE4552,Mạng cảm biến không dây,2(2-1-0-4),2,3,0.5
,TE2020,Technical Writing and Presentation,3(2-2-0-6),3,4,0.5
,IT3620,Phân tích và thiết kế hệ thống thông tin,2(2-1-0-4),2,3,0.7
,IT4089,Nhập môn công nghệ phần mềm,2(2-1-0-4),2,3,0.7
,BF3814,Quá trình và thiết bị cơ học,2(2-0-0-4),2,2,0.7
