,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4680,Tin học ứng dụng trong CN Tàu thủy,2(2-1-0-4),2,3,0.7
,ME4690,Cơ học chất lỏng chuyên sâu,3(3-1-0.5-6),3,5,0.6
,ME4691,Lý thuyết dẻo ứng dụng,2(2-1-0-4),2,3,0.7
,ME4700,Đo lường thủy khí,2(2-0-0-4),2,2,0.7
,ME4710,Máy thuỷ lực thể tích,2(2-1-0-4),2,3,0.7
,ME4720,Truyền động thuỷ lực thể tích,3(3-2-0-6),3,5,0.7
,ME4730,Lý thuyết cánh,3(3-1-0-6),3,4,0.7
,ME4740,Động lực học hệ truyền động thủy lực thể tích,2(2-1-0-4),2,3,0.7
,ME4750,"Bơm, quạt, cánh dẫn",3(3-2-0-6),3,5,0.7
,ME4760,Hệ thống trạm bơm và trạm thủy điện,2(2-1-0-4),2,3,0.7
,ME4770,Truyền động thuỷ động,2(2-1-0-4),2,3,0.7
,ME4780,Tua bin nước,3(3-2-0-6),3,5,0.7
,ME4790,Đồ án máy cánh dẫn,1(0-2-0-2),1,2,1
,ME4800,Ưng dụng PLC ĐK các hệ TĐTT,2(2-0-0-4),2,2,0.6
,ME4810,Luật giao thông đường bộ và KTLX,3(1-0-3-6),3,5.5,0.7
,ME4820,CN chế tạo máy thuỷ khí,2(2-1-0-4),2,3,0.7
,ME4830,Máy nén khí,2(2-1-0-4),2,3,0.7
,ME4840,Robot công nghiệp,2(2-1-0-4),2,3,0.7
,ME4850,Truyền động và tự động khí nén,2(2-1-0-4),2,3,0.7
,ME4860,Tiếng Anh chuyên ngành,2(2-1-0-4),2,3,0.7
