,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH5203,Hóa học và sản phẩm dầu,2(2-1-0-4),2,3,0.7
,CH5250,Hóa lý polyme nâng cao,2(2-0-1-4),2,3.5,0.7
,CH5252,Kỹ thuật vật liệu sơn,2(2-0-1-4),2,3.5,0.7
,CH5253,Kỹ thuật vật liệu cao su,2(2-0-1-4),2,3.5,0.7
,CH5254,Kỹ thuật vật liệu chất dẻo,2(2-0-0-4),2,2,0.7
,CH5255,Kỹ thuật vật liệu polyme compozit,2(2-0-1-4),2,3.5,0.7
,CH5256,Máy và thiết bị gia công polyme,2(2-0-0-4),2,2,0.7
,CH5258,Hoá học polyme phân huỷ sinh học,2(2-0-0-4),2,2,0.7
,CH5259,Hoá học polyme y sinh,2(2-0-0-4),2,2,0.7
,CH5260,Hoá học polyme silicon,2(2-0-0-4),2,2,0.7
,CH5306,Gia công xử lí bề mặt kim loại,2(2-1-0-4),2,3,0.7
,CH5309,Kĩ thuật đo điện hóa,2(2-1-0-4),2,3,0.7
,CH5361,Hoá lý Silicat 2,2(2-1-0-4),2,3,0.7
,CH5362,Lò công nghiệp Silicat 2,2(2-1-0-4),2,3,0.7
,CH5451,Kỹ thuật xúc tác,3(3-0-0-6),3,3,0.7
,CH5452,Hóa lý các hiện tượng bề mặt,3(3-0-0-6),3,3,0.7
,CH5503,Kỹ thuật công trình trong CN Hóa học,2(2-1-0-4),2,3,0.7
,CH5504,Kỹ thuật tách hỗn hợp nhiều cấu tử,2(2-1-0-4),2,3,0.7
,CH5505,Kỹ thuật hệ thống,2(2-1-0-4),2,3,0.7
,CH5506,Mô hình điều khiển,2(2-1-0-4),2,3,0.7
