,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT4380,Phân tích và thiết kế hệ thống hướng đối tượng,3(3-1-0-6),3,4,0.7
,IT4390,Đồ án môn học: Thiết kế và phát triển phần mềm,2(1-1-0-4),2,4,0.5
,IT4420,Đồ án môn học: Các công nghệ xây dựng hệ thống thông tin,2(1-1-0-4),2,4,0.5
,IT4550,Đồ án môn học: Phát triển phần mềm chuyên nghiệp,2(1-1-2-4),2,4,0.5
,IT4710,Đồ án môn học: Thiết kế và cài đặt hệ thống mạng,1(1-1-0-4),1,2,0.6
,IT4720,Đồ án môn học: Xây dựng các ứng dụng phân tán,1(1-1-0-4),1,2,0.6
,IT4765,Cấu trúc dữ liệu và thuật toán trên đồ thị,2(2-1-0-4),2,3,0.7
,IT4827,Các hệ thu thập thông tin và đo lường điều khiển,2(2-1-0-4),2,3,0.6
,IT4897,Các hệ thống điều khiển quá trình công nghiệp,2(2-1-0-4),2,3,0.7
,IT4898,"Multimedia, trò chơi và các hệ thống giải trí",2(2-1-0-4),2,3,0.7
,HE4131,Phương pháp phần tử hữu hạn trong kỹ thuật nhiệt và cơ học chất lỏng,2(2-1-0-4),2,3,0.7
,HE4142,Nhà máy điện chu trình kết hợp,2(2-0-0-4),2,2,0.8
,HE4181,Thiết kế và tính sức bền các chi tiết tuabin nhiệt,2(2-1-0-4),2,3,0.7
,CH1011,Hóa học đại cương,2(2-1-0-4),2,3,0.7
,TEX4113,Thiết kế dây chuyền công nghệ nhuộm-hoàn tất,1(1-0-0-2),1,1,0.75
,TEX4133,Đồ án thiết kế dây chuyền công nghệ nhuộm-hoàn tất,1(1-0-0-2),1,2,0.75
,TEX4143,Kiểm tra chất lượng sản phẩm nhuộm - hoàn tất,2(2-0-1-4),2,3.5,0.75
,CH2000,Nhập môn kỹ thuật hóa học,3(2-1-1-6),3,4.5,0.6
,BF3170,Phương pháp phân tích bằng dụng cụ trong CNTP,2(2-1-0-4),2,3,0.7
,BF3430,Các phương pháp phân tích bằng công cụ trong CNSH,3(2-1-1-6),3,4.5,0.8
