,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,PH3301,Phân tích cấu trúc,3(2-1-1-6),3,4.5,0.7
,PH3310,Kỹ thuật phân tích hạt nhân,2(2-1-0.5-4),2,4,0.7
,CH3000,Hóa lý 1 (Cấu tạo chất),2(2-1-0.5-4),2,4,0.75
,CH3001,Hóa lý 1 (máy hoá),2(2-1-0.5-4),2,4,0.75
,CH3002,Hóa lý (CN sinh học và thực phẩm),3(3-1-1-6),3,5.5,0.75
,CH3004,Hóa lý (vật liệu),2(2-1-0.5-4),2,4,0.75
,CH3010,Hóa lý 2 (Nhiệt động hóa học),2(2-1-0.5-4),2,4,0.75
,CH3011,Hóa lý 2 (máy hoá),2(2-1-0.5-4),2,4,0.75
,CH3020,Hóa lý 3 (Động hóa học và hấp phụ),2(2-1-0.5-4),2,4,0.75
,CH3030,Hóa lý 4 (Điện hóa học và hóa keo),2(2-1-0.5-4),2,4,0.75
,CH3100,Hóa vô cơ 1 (KTHH),3(3-1-1-6),3,5.5,0.75
,CH3110,Hóa vô cơ 2 (KTHH),2(2-1-0.5-4),2,4,0.75
,CH3121,Hóa vô cơ,2(2-1-0-4),2,3,0.7
,CH3122,"Hóa vô cơ (CN môi trường, CNTP và luyện kim)",3(2-2-0.5-6),3,5,0.75
,CH3201,Hóa hữu cơ,2(2-1-0-4),2,3,0.8
,CH3210,Hóa hữu cơ 2 (KTHH),3(3-1-1-6),3,5.5,0.75
,CH3211,Hóa hữu cơ 2 (CN in),2(2-1-0.5-4),2,4,0.75
,CH3221,Hóa hữu cơ (máy hoá),3(3-1-1-6),3,5.5,0.75
,CH3222,Hóa hữu cơ (luyện kim),2(2-1-0-4),2,3,0.75
,CH3223,Hóa hữu cơ,3(2-1-1-6),3,4.5,0.8
