,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH3456,Cơ khí ứng dụng,3(3-1-0-6),3,4,0.7
,CH3472,Hóa kỹ thuật đại cương,3(3-0-0-6),3,3,0.7
,CH3480,TN Quá trình và thiết bị I,1(0-0-2-2),1,3,1
,CH3481,Quy hoạch thực nghiệm,2(2-1-0-4),2,3,0.7
,CH3490,TN Quá trình và thiết bị II,1(0-0-2-2),1,3,1
,CH3500,Vật liệu polyme,3(3-0-0-6),3,3,0.7
,CH3640,Kỹ thuật chế bản điện tử,4(3-1-1-8),4,5.5,0.7
,CH3690,Đồ án thiết kế,3(0-0-6-6),3,6,0.7
,CH3700,Vật liệu ceramic,3(3-0-0-6),3,3,0.7
,CH3901,Đồ án nghiên cứu,3(0-0-6-6),3,6,0.7
,CH4091,Hóa học chất tạo màng,3(2-1-0-6),3,3,0.7
,CH4093,Hóa polyme,3(3-1-0-6),3,4,0.7
,CH4095,Kỹ thuật xử lý bề mặt vật liệu,3(3-0-0-6),3,3,0.7
,CH4211,Hóa lý Silicat,3(3-1-0-6),3,4,0.7
,CH4214,Lò công nghiệp silicat,3(3-1-0-6),3,4,0.7
,ED3120,Giáo dục học,2(2-0-0-4),2,2,0.7
,ED3130,Lý luận dạy học,3(2-2-0-4),3,4,0.7
,ED3151,Thực hành nghề cơ bản ngành KTĐT,3(0-0-6-6),3,9,0.7
,ED3152,Thực hành nghề cơ bản ngành KTĐ,3(0-0-6-6),3,9,0.7
,ED3153,Thực hành nghề cơ bản ngành KTCK,3(0-0-6-6),3,9,0.7
