,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT4330,Hệ quản trị cơ sở dữ liệu,3(2-0-2-6),3,5,0.7
,IT4340,Hệ trợ giúp quyết định,3(3-1-0-6),3,4,0.7
,IT4360,Hệ cơ sở tri thức,3(3-1-0-6),3,4,0.7
,IT4370,Mô hình các hệ thống phân tán,3(3-1-0-6),3,4,0.7
,IT4400,Công nghệ Web và dịch vụ trực tuyến,2(2-1-0-4),2,3,0.7
,IT4410,Nhập môn tương tác người-máy,2(2-1-0-4),2,3,0.6
,IT4440,Tương tác Người –Máy,3(3-1-0-6),3,4,0.7
,IT4460,Phân tích yêu cầu phần mềm,2(2-1-0-4),2,3,0.7
,IT4470,Đồ họa và hiện thực ảo,3(3-1-0-6),3,4,0.6
,IT4480,Làm việc nhóm và kỹ năng giao tiếp,2(2-1-0-4),2,3,0.6
,IT4490,Thiết kế và xây dựng phần mềm,3(2-2-0-6),3,4,0.5
,IT4500,Đảm bảo chất lượng phần mềm,3(3-1-0-6),3,4,0.7
,IT4510,An toàn phần mềm và hệ thống,3(3-1-0-6),3,4,0.7
,IT4520,Kinh tế công nghệ phần mềm,2(2-1-0-4),2,3,0.7
,IT4530,Kỹ năng lập báo cáo kỹ thuật và dự án,1(1-1-0-2),1,2,0.7
,IT4540,Quản lý dự án phần mềm,3(3-1-0-6),3,4,0.7
,IT4560,Kỹ thuật truyền thông,3(3-1-0-6),3,4,0.7
,IT4590,Lý thuyết thông tin,2(2-1-0-4),2,3,0.7
,IT4600,Thiết bị truyền thông và mạng,2(2-0-1-4),2,3.5,0.7
,IT4610,Hệ phân tán,2(2-1-0-4),2,3,0.6
